,possession,team_name,obv_total_net_sum,obv_total_net_mean,possession minute,possession second,possession end minute,possession end second
0,2,Manchester City WFC,-0.017424432,-0.0008297348571428572,0,0,0,31
1,3,Arsenal WFC,0.005628032099999999,0.00056280321,0,31,1,9
2,3,Manchester City WFC,0.0050177751,0.00100355502,0,31,1,9
3,4,Arsenal WFC,-0.0006913496000000002,-0.0003456748000000001,1,13,1,14
4,5,Arsenal WFC,-0.015100268,-0.005033422666666666,1,15,1,31
5,5,Manchester City WFC,-0.006083963500000001,-0.0004679971923076924,1,15,1,31
6,6,Arsenal WFC,0.0011694808999999987,0.0003898269666666662,1,52,2,9
7,6,Manchester City WFC,0.015344768800000002,0.002557461466666667,1,52,2,9
8,7,Arsenal WFC,-0.0779182272,-0.015583645439999998,2,28,3,6
9,7,Manchester City WFC,0.9286040578,0.02901887680625,2,28,3,6
10,8,Arsenal WFC,0.0010403920000000002,0.0005201960000000001,4,0,4,9
11,9,Manchester City WFC,-0.0011008798,-0.00011008797999999999,4,26,4,42
12,10,Arsenal WFC,0.0031242212999999996,0.00031242212999999994,4,42,4,57
13,11,Arsenal WFC,0.0562283109,0.00937138515,4,57,5,42
14,11,Manchester City WFC,0.010637142599999996,0.0004091208692307691,4,57,5,42
15,12,Arsenal WFC,-0.004912623000000001,-0.0006140778750000002,5,43,5,53
16,13,Manchester City WFC,-0.007443286499999998,-0.00041351591666666655,5,53,6,12
17,14,Arsenal WFC,0.003638868699999992,0.0006064781166666653,6,12,6,24
18,15,Manchester City WFC,0.0040030354,0.0040030354,6,47,6,50
19,16,Arsenal WFC,-0.002704642,-0.0003863774285714286,6,50,6,58
20,17,Arsenal WFC,-0.018124394999999998,-0.009062197499999999,7,26,8,5
21,17,Manchester City WFC,0.017560736399999995,0.0007024294559999998,7,26,8,5
22,18,Manchester City WFC,-0.0107705445,-0.0011967271666666667,8,22,8,41
23,19,Arsenal WFC,0.0009443268999999995,5.902043124999997e-05,8,41,9,5
24,20,Arsenal WFC,-0.00208267,-0.00208267,9,5,9,27
25,20,Manchester City WFC,0.00039445150000000026,3.944515000000002e-05,9,5,9,27
26,21,Arsenal WFC,0.025860515899999992,0.00235095599090909,9,31,9,55
27,21,Manchester City WFC,-0.010607600100000001,-0.0017679333500000003,9,31,9,55
28,22,Manchester City WFC,-0.005124802,-0.005124802,9,56,9,56
29,23,Manchester City WFC,-0.0052903284,-0.0026451642,10,18,10,20
30,24,Manchester City WFC,0.0024786694,0.0012393347,10,21,10,22
31,25,Manchester City WFC,-0.0012051724000000002,-0.0006025862000000001,10,22,10,23
32,26,Arsenal WFC,-0.0065422934,-0.0065422934,10,26,10,29
33,26,Manchester City WFC,0.0065888139000000005,0.0032944069500000003,10,26,10,29
34,27,Manchester City WFC,-0.0057838735,-0.001445968375,10,43,10,53
35,28,Arsenal WFC,0.0067263427,0.00336317135,10,53,10,54
36,28,Manchester City WFC,0.0024860743,0.0024860743,10,53,10,54
37,29,Arsenal WFC,-0.0154725576,-0.0025787596,10,58,11,4
38,29,Manchester City WFC,-0.0004037758,-0.0004037758,10,58,11,4
39,30,Manchester City WFC,-0.008781898000000003,-0.0029272993333333344,11,5,11,11
40,31,Arsenal WFC,-0.0008029094999999998,-0.00013381824999999996,11,41,11,49
41,32,Arsenal WFC,0.0019054608,0.0019054608,11,49,12,36
42,32,Manchester City WFC,0.0042292126999999985,0.00012083464857142853,11,49,12,36
43,33,Arsenal WFC,0.040795087800000004,0.0015690418384615387,12,55,13,53
44,33,Manchester City WFC,-0.011620660000000003,-0.0012911844444444447,12,55,13,53
45,34,Arsenal WFC,0.006814796699999997,0.0002349929896551723,14,14,15,13
46,34,Manchester City WFC,0.070184628,0.011697438,14,14,15,13
47,35,Arsenal WFC,-0.0070871771,-0.00047247847333333333,15,23,15,41
48,36,Arsenal WFC,0.00012475669999999998,6.237834999999999e-05,15,44,16,29
49,36,Manchester City WFC,0.0434481003,0.00197491365,15,44,16,29
50,37,Arsenal WFC,0.009765052,0.009765052,17,10,17,15
51,37,Manchester City WFC,-0.041259225999999996,-0.020629612999999998,17,10,17,15
52,38,Arsenal WFC,0.007273747300000001,0.0005595190230769232,17,36,18,5
