,frame,team,time,value,period
0,1,Home,0.04,1.1,1
1,26,Home,1.04,1.0,1
2,51,Home,2.04,1.0,1
3,76,Home,3.04,0.9,1
4,101,Home,4.04,0.9,1
5,126,Home,5.04,0.8,1
6,151,Home,6.04,0.8,1
7,176,Home,7.04,0.8,1
8,201,Home,8.04,0.9,1
9,226,Home,9.04,0.9,1
10,251,Home,10.04,0.9,1
11,276,Home,11.04,0.8,1
12,301,Home,12.04,0.8,1
13,326,Home,13.04,0.8,1
14,351,Home,14.04,0.8,1
15,376,Home,15.04,0.8,1
16,401,Home,16.04,0.9,1
17,426,Home,17.04,0.8,1
18,451,Home,18.04,0.8,1
19,476,Home,19.04,0.8,1
20,501,Home,20.04,0.8,1
21,526,Home,21.04,0.8,1
22,551,Home,22.04,0.8,1
23,576,Home,23.04,0.7,1
24,601,Home,24.04,0.7,1
25,626,Home,25.04,0.7,1
26,651,Home,26.04,0.7,1
27,676,Home,27.04,0.7,1
28,701,Home,28.04,0.7,1
29,726,Home,29.04,0.7,1
30,751,Home,30.04,0.7,1
31,776,Home,31.04,0.8,1
32,801,Away,32.04,1.4,1
33,826,Away,33.04,1.3,1
34,851,Away,34.04,1.7,1
35,876,Away,35.04,1.6,1
36,901,Home,36.04,0.7,1
37,926,Home,37.04,0.7,1
38,951,Home,38.04,0.8,1
39,976,Away,39.04,1.2,1
40,1001,Away,40.04,1.2,1
41,1026,Away,41.04,1.1,1
42,1051,Away,42.04,1.0,1
43,1076,Away,43.04,1.1,1
44,1101,Away,44.04,1.2,1
45,1126,Away,45.04,1.3,1
46,1151,Away,46.04,1.4,1
47,1176,Away,47.04,1.4,1
48,1201,Away,48.04,1.4,1
49,1226,Away,49.04,1.5,1
50,1251,Away,50.04,1.9,1
51,1276,Away,51.04,2.0,1
52,1301,Home,52.04,0.7,1
53,1326,Home,53.04,0.7,1
54,1351,Home,54.04,0.7,1
55,1376,Home,55.04,0.7,1
56,1401,Home,56.04,0.8,1
57,1426,Home,57.04,0.8,1
58,1451,Home,58.04,0.8,1
59,1476,Home,59.04,0.8,1
60,1501,Home,60.04,0.8,1
61,1526,Home,61.04,0.8,1
62,1551,Home,62.04,0.7,1
63,1576,Home,63.04,0.7,1
64,1601,Home,64.04,0.7,1
65,1626,Home,65.04,0.6,1
66,1651,Home,66.04,0.6,1
67,1676,Home,67.04,0.7,1
68,1701,Home,68.04,0.7,1
69,1726,Home,69.04,0.6,1
70,1861,Away,74.44,1.3,1
71,1886,Home,75.44,0.6,1
72,1911,Home,76.44,0.6,1
73,1936,Home,77.44,0.6,1
74,1961,Home,78.44,0.7,1
75,1986,Home,79.44,0.8,1
76,2011,Home,80.44,0.7,1
77,2036,Home,81.44,0.7,1
78,2061,Home,82.44,0.7,1
79,2086,Home,83.44,0.7,1
80,2111,Home,84.44,0.7,1
81,2136,Home,85.44,0.7,1
82,2161,Home,86.44,0.7,1
83,2186,Home,87.44,0.8,1
84,2211,Away,88.44,1.4,1
85,2236,Away,89.44,1.5,1
86,2261,Away,90.44,1.8,1
87,2760,Home,110.4,0.7,1
88,2785,Home,111.4,0.8,1
89,2810,Home,112.4,0.8,1
90,2835,Home,113.4,0.8,1
91,2860,Home,114.4,0.7,1
92,2885,Away,115.4,1.0,1
93,2910,Away,116.4,1.1,1
94,2935,Away,117.4,1.1,1
95,2960,Away,118.4,1.0,1
96,2985,Away,119.4,0.9,1
97,3010,Home,120.4,0.8,1
98,3035,Home,121.4,0.9,1
99,3060,Home,122.4,0.9,1
100,3085,Home,123.4,0.9,1
101,3110,Home,124.4,1.0,1
102,3135,Home,125.4,1.1,1
103,3160,Home,126.4,1.1,1
104,3185,Home,127.4,1.3,1
105,3210,Home,128.4,1.5,1
106,3235,Away,129.4,0.5,1
107,3260,Away,130.4,0.5,1
108,3740,Home,149.6,1.8,1
109,3765,Home,150.6,1.7,1
110,3790,Home,151.6,1.6,1
111,3815,Home,152.6,1.6,1
112,3840,Home,153.6,1.7,1
113,3865,Home,154.6,1.8,1
114,3890,Home,155.6,1.9,1
115,3915,Home,156.6,1.7,1
116,3940,Away,157.6,0.5,1
117,3965,Home,158.6,1.8,1
118,3990,Home,159.6,1.8,1
119,4015,Home,160.6,1.8,1
120,4040,Home,161.6,1.7,1
121,4065,Home,162.6,1.7,1
122,4090,Home,163.6,1.5,1
123,4115,Home,164.6,1.5,1
124,4140,Home,165.6,1.5,1
125,4165,Home,166.6,1.4,1
126,4190,Home,167.6,1.5,1
127,4215,Home,168.6,1.6,1
128,4240,Home,169.6,1.8,1
129,4265,Home,170.6,1.9,1
130,4290,Away,171.6,0.5,1
131,4315,Away,172.6,0.6,1
132,4340,Away,173.6,0.7,1
133,4365,Home,174.6,1.4,1
134,4390,Home,175.6,1.4,1
135,4415,Home,176.6,1.5,1
136,4440,Home,177.6,1.5,1
137,4465,Home,178.6,1.5,1
138,4490,Home,179.6,1.5,1
139,4515,Home,180.6,1.6,1
140,4540,Home,181.6,1.6,1
141,4565,Home,182.6,1.7,1
142,4590,Home,183.6,1.7,1
143,4615,Home,184.6,2.1,1
144,4640,Home,185.6,2.3,1
145,5913,Away,236.52,1.0,1
146,5938,Away,237.52,1.0,1
147,5963,Away,238.52,0.9,1
148,5988,Away,239.52,0.9,1
149,6013,Away,240.52,0.9,1
150,6038,Away,241.52,0.8,1
151,6063,Away,242.52,0.8,1
152,6088,Away,243.52,0.8,1
153,6113,Away,244.52,0.8,1
154,6138,Away,245.52,0.8,1
155,6163,Away,246.52,0.8,1
156,6188,Away,247.52,0.9,1
157,6683,Home,267.32,0.9,1
158,6708,Home,268.32,0.9,1
159,6733,Home,269.32,0.8,1
160,6758,Home,270.32,0.8,1
161,6783,Home,271.32,0.8,1
162,6808,Home,272.32,0.8,1
163,6833,Home,273.32,0.8,1
164,6858,Home,274.32,0.8,1
165,6883,Home,275.32,0.9,1
166,6908,Home,276.32,0.8,1
167,6933,Home,277.32,0.9,1
168,6958,Home,278.32,0.9,1
169,6983,Home,279.32,1.1,1
170,7008,Home,280.32,1.1,1
171,7033,Home,281.32,1.0,1
172,7058,Away,282.32,0.8,1
173,7083,Away,283.32,0.8,1
174,7108,Away,284.32,0.8,1
175,7133,Away,285.32,0.8,1
176,7158,Away,286.32,0.8,1
177,7183,Away,287.32,0.8,1
178,7208,Away,288.32,0.7,1
179,7233,Away,289.32,0.7,1
180,7258,Away,290.32,0.7,1
181,7283,Away,291.32,0.7,1
182,7308,Away,292.32,0.7,1
183,7333,Away,293.32,0.7,1
184,7358,Away,294.32,0.7,1
185,7383,Away,295.32,0.7,1
186,7408,Away,296.32,0.7,1
187,7433,Away,297.32,0.8,1
188,7458,Home,298.32,0.8,1
189,7483,Home,299.32,0.8,1
190,7508,Home,300.32,0.8,1
191,7533,Home,301.32,0.8,1
192,7558,Home,302.32,0.8,1
193,7583,Home,303.32,0.9,1
194,7608,Home,304.32,1.0,1
195,7633,Home,305.32,1.1,1
196,7658,Home,306.32,1.2,1
197,7683,Away,307.32,0.7,1
198,7708,Away,308.32,0.7,1
199,7733,Away,309.32,0.6,1
200,7758,Home,310.32,1.6,1
201,7783,Home,311.32,1.6,1
202,7808,Home,312.32,1.8,1
203,7833,Home,313.32,1.8,1
204,7858,Home,314.32,1.6,1
205,7883,Home,315.32,1.6,1
206,7908,Home,316.32,1.5,1
207,7933,Home,317.32,1.5,1
208,7958,Home,318.32,1.7,1
209,7983,Away,319.32,0.6,1
210,8008,Away,320.32,0.6,1
211,8033,Away,321.32,0.6,1
212,8058,Away,322.32,0.6,1
213,8083,Home,323.32,1.4,1
214,8108,Home,324.32,1.3,1
215,8133,Home,325.32,1.2,1
216,8158,Home,326.32,1.2,1
217,8183,Home,327.32,1.2,1
218,8208,Home,328.32,1.1,1
219,8233,Home,329.32,1.1,1
220,8258,Home,330.32,1.1,1
221,8283,Home,331.32,1.1,1
222,8308,Home,332.32,1.1,1
223,8333,Home,333.32,1.1,1
